Project#,imaged,Morphospecies#,MorphospeciesName,phylum,subphylum,superclass,class,subclass,infraclass,subterclass,superorder,order,suborder,infraorder,parvorder,Zoosection,Zoosubsection,superfamily,epifamily,family,subfamily,supertribe,tribe,subtribe,genus,subgenus,specificEpithet,infraspecificEpithet,Scientific Name,sex,identifiedBy,identificationRemarks,identificationQualifier,individualCount,lifeStage,preparations,establismentMeans ,basisOfRecord,institutionID,institutionCode,datasetID,catalogNumber,collectionCode,occurrenceRemarks,recordedBy,associatedMedia,associatedTaxa,associatedReferences,associatedSequences,eventID,parentEventID,samplingProtocol,sampleSizeValue,sampleSizeUnit,samplingEffort,eventTime,year,month,day,habitat,fieldNumber,fieldNotes,eventRemarks,locationID,islandGroup,island,country,stateProvince,county,municipality,locality,verbatimLocality,verbatimElevation,verticalDatum,minimumElevationInMeters,maximumElevationInMeters,verbatimLatitude,verbatimLongitude,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,georeferencedBy,georeferencedDate,georeferenceProtocol,georeferenceSources,georeferenceRemarks,
SBBG-SR_002039,n,SBBG-SR_001142,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Hymenoptera,Apocrita,Aculeata,,,,Apoidea,,Halictidae,Halictinae ,,Halictini,,Lasioglossum,Lasioglossum,titusi,,Lasioglossum titusi ,female,Kylie Etter | Kylie Etter,to morphospecies SBBG-SR_001654 | to Lasioglossum titusi morphospecies SBBG-SR_001142 rejecting morphospecies SBBG-SR_001654,,1,,Pinned specimen,,PreservedSpecimen,UCRC ENT,,SBBG-SR,002039,,,Denise Knapp | Stephanie Calloway,,,,,1N-PT_20170621,,Pan Trap,,,,,2017,6,21,annual grassland with 66% veg cover,,,,1N_Center,Channel Islands,San Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,Soledad Ridge,468,,,,Zone10 E766367,Zone10 N3759875,33.94567,-120.11790,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_002040,n,SBBG-SR_002123,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Hymenoptera,Apocrita,Aculeata,,,,Apoidea,,Megachilidae,Megachilinae,,Osmiini,,Ashmeadiella,Titusella,,,,male,Stephanie Calloway,to morphospecies SBBG-SR_002123,,1,,Pinned specimen,,PreservedSpecimen,UCRC ENT,,SBBG-SR,002040,,,Denise Knapp | Stephanie Calloway,,,,,1N-PT_20170621,,Pan Trap,,,,,2017,6,21,annual grassland with 66% veg cover,,,,1N_Center,Channel Islands,San Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,Soledad Ridge,468,,,,Zone10 E766367,Zone10 N3759875,33.94567,-120.11790,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_002041,n,SBBG-SR_002123,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Hymenoptera,Apocrita,Aculeata,,,,Apoidea,,Megachilidae,Megachilinae,,Osmiini,,Ashmeadiella,Titusella,,,,male,Stephanie Calloway,to morphospecies SBBG-SR_002123,,1,,Pinned specimen,,PreservedSpecimen,UCRC ENT,,SBBG-SR,002041,,,Denise Knapp | Stephanie Calloway,,,,,1N-PT_20170621,,Pan Trap,,,,,2017,6,21,annual grassland with 66% veg cover,,,,1N_Center,Channel Islands,San Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,Soledad Ridge,468,,,,Zone10 E766367,Zone10 N3759875,33.94567,-120.11790,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_002042,n,SBBG-SR_002123,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Hymenoptera,Apocrita,Aculeata,,,,Apoidea,,Megachilidae,Megachilinae,,Osmiini,,Ashmeadiella,Titusella,,,,male,Stephanie Calloway,to morphospecies SBBG-SR_002123,,1,,Pinned specimen,,PreservedSpecimen,UCRC ENT,,SBBG-SR,002042,,,Denise Knapp | Stephanie Calloway,,,,,1N-PT_20170621,,Pan Trap,,,,,2017,6,21,annual grassland with 66% veg cover,,,,1N_Center,Channel Islands,San Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,Soledad Ridge,468,,,,Zone10 E766367,Zone10 N3759875,33.94567,-120.11790,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_002043,n,SBBG-SR_002123,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Hymenoptera,Apocrita,Aculeata,,,,Apoidea,,Megachilidae,Megachilinae,,Osmiini,,Ashmeadiella,Titusella,,,,male,Stephanie Calloway,to morphospecies SBBG-SR_002123,,1,,Pinned specimen,,PreservedSpecimen,UCRC ENT,,SBBG-SR,002043,,,Denise Knapp | Stephanie Calloway,,,,,1N-PT_20170621,,Pan Trap,,,,,2017,6,21,annual grassland with 66% veg cover,,,,1N_Center,Channel Islands,San Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,Soledad Ridge,468,,,,Zone10 E766367,Zone10 N3759875,33.94567,-120.11790,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_002044,n,SBBG-SR_002123,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Hymenoptera,Apocrita,Aculeata,,,,Apoidea,,Megachilidae,Megachilinae,,Osmiini,,Ashmeadiella,Titusella,,,,male,Stephanie Calloway,to morphospecies SBBG-SR_002123,,1,,Pinned specimen,,PreservedSpecimen,UCRC ENT,,SBBG-SR,002044,,,Denise Knapp | Stephanie Calloway,,,,,1N-PT_20170621,,Pan Trap,,,,,2017,6,21,annual grassland with 66% veg cover,,,,1N_Center,Channel Islands,San Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,Soledad Ridge,468,,,,Zone10 E766367,Zone10 N3759875,33.94567,-120.11790,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_002045,n,SBBG-SR_002123,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Hymenoptera,Apocrita,Aculeata,,,,Apoidea,,Megachilidae,Megachilinae,,Osmiini,,Ashmeadiella,Titusella,,,,female,Stephanie Calloway,to morphospecies SBBG-SR_002123,,1,,Pinned specimen,,PreservedSpecimen,UCRC ENT,,SBBG-SR,002045,,,Denise Knapp | Stephanie Calloway,,,,,1N-PT_20170621,,Pan Trap,,,,,2017,6,21,annual grassland with 66% veg cover,,,,1N_Center,Channel Islands,San Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,Soledad Ridge,468,,,,Zone10 E766367,Zone10 N3759875,33.94567,-120.11790,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_002046,n,SBBG-SR_002123,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Hymenoptera,Apocrita,Aculeata,,,,Apoidea,,Megachilidae,Megachilinae,,Osmiini,,Ashmeadiella,Titusella,,,,male,Stephanie Calloway,to morphospecies SBBG-SR_002123,,1,,Pinned specimen,,PreservedSpecimen,UCRC ENT,,SBBG-SR,002046,,,Denise Knapp | Stephanie Calloway,,,,,1N-PT_20170621,,Pan Trap,,,,,2017,6,21,annual grassland with 66% veg cover,,,,1N_Center,Channel Islands,San Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,Soledad Ridge,468,,,,Zone10 E766367,Zone10 N3759875,33.94567,-120.11790,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_002047,y,SBBG-SR_002093,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Hymenoptera,Apocrita,Aculeata,,,,Apoidea,,Halictidae,Halictinae ,,Halictini,,Lasioglossum,Evylaeus,,,,male,Stephanie Calloway | Kylie Etter,to Lasioglossum | to morphospecies SBBG-SR_002047 | to morphospecies SBBG-SR_002093 rejecting morphospecies SBBG-SR_002047,,1,,Pinned specimen,,PreservedSpecimen,UCRC ENT,,SBBG-SR,002047,,,Denise Knapp | Stephanie Calloway,https://www.inaturalist.org/observations/66437733,,,,1N-PT_20170621,,Pan Trap,,,,,2017,6,21,annual grassland with 66% veg cover,,,,1N_Center,Channel Islands,San Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,Soledad Ridge,468,,,,Zone10 E766367,Zone10 N3759875,33.94567,-120.11790,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_002048,n,SBBG-SR_001280,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Hymenoptera,Apocrita,Aculeata,,,,Pompiloidea,,Pompilidae,Pompilinae,,Pompilini,,Aporinellus,,,,,,Kylie Etter,to Aporinellus taeniatus,,1,,Pinned specimen,,PreservedSpecimen,,,SBBG-SR,002048,,,Denise Knapp | Stephanie Calloway,,,,,1N-PT_20170621,,Pan Trap,,,,,2017,6,21,annual grassland with 66% veg cover,,,,1N_Center,Channel Islands,San Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,Soledad Ridge,468,,,,Zone10 E766367,Zone10 N3759875,33.94567,-120.11790,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_002049,y,SBBG-SR_002049,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Diptera,,,,,,,,,,,,,,,,,,,Kylie Etter,,,1,,Pinned specimen,,PreservedSpecimen,,,SBBG-SR,002049,,,Denise Knapp | Stephanie Calloway,https://www.inaturalist.org/observations/74773429,,,,1N-PT_20170621,,Pan Trap,,,,,2017,6,21,annual grassland with 66% veg cover,,,,1N_Center,Channel Islands,San Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,Soledad Ridge,468,,,,Zone10 E766367,Zone10 N3759875,33.94567,-120.11790,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_002050,n,SBBG-SR_001001,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Hymenoptera,Apocrita,Aculeata,,,,Apoidea,,Apidae,Apinae,,Eucerini,,Melissodes,,cf. lupina,,,female,Stephanie Calloway,to morphospecies SBBG-SR_001002,,1,,Pinned specimen,,PreservedSpecimen,UCRC ENT,,SBBG-SR,002050,,,Denise Knapp | Stephanie Calloway,,,,,2S-PT_20170621,,Pan Trap,,,,,2017,6,21,,,,,2S_Center,Channel Islands,San Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,Soledad Ridge,468,,,,Zone10 E766502,Zone10 N3759832,33.94524,-120.11646,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_002051,n,SBBG-SR_001001,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Hymenoptera,Apocrita,Aculeata,,,,Apoidea,,Apidae,Apinae,,Eucerini,,Melissodes,,cf. lupina,,,male,Stephanie Calloway,to morphospecies SBBG-SR_001002,,1,,Pinned specimen,,PreservedSpecimen,UCRC ENT,,SBBG-SR,002051,,,Denise Knapp | Stephanie Calloway,,,,,2S-PT_20170621,,Pan Trap,,,,,2017,6,21,,,,,2S_Center,Channel Islands,San Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,Soledad Ridge,468,,,,Zone10 E766502,Zone10 N3759832,33.94524,-120.11646,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_002052,n,SBBG-SR_001001,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Hymenoptera,Apocrita,Aculeata,,,,Apoidea,,Apidae,Apinae,,Eucerini,,Melissodes,,cf. lupina,,,female,Stephanie Calloway,to morphospecies SBBG-SR_001002,,1,,Pinned specimen,,PreservedSpecimen,UCRC ENT,,SBBG-SR,002052,,,Denise Knapp | Stephanie Calloway,,,,,2S-PT_20170621,,Pan Trap,,,,,2017,6,21,,,,,2S_Center,Channel Islands,San Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,Soledad Ridge,468,,,,Zone10 E766502,Zone10 N3759832,33.94524,-120.11646,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_002053,n,SBBG-SR_001064,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Hymenoptera,Apocrita,Aculeata,,,,Apoidea,,Halictidae,Halictinae ,,Halictini,,Agapostemon,,texanus,,Agapostemon texanus,female,Stephanie Calloway,to Agapostemon texanus,,1,,Pinned specimen,,PreservedSpecimen,UCRC ENT,,SBBG-SR,002053,,,Denise Knapp | Stephanie Calloway,,,,,2S-PT_20170621,,Pan Trap,,,,,2017,6,21,,,,,2S_Center,Channel Islands,San Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,Soledad Ridge,468,,,,Zone10 E766502,Zone10 N3759832,33.94524,-120.11646,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_002054,n,SBBG-SR_001064,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Hymenoptera,Apocrita,Aculeata,,,,Apoidea,,Halictidae,Halictinae ,,Halictini,,Agapostemon,,texanus,,Agapostemon texanus,female,Stephanie Calloway,to Agapostemon texanus,,1,,Pinned specimen,,PreservedSpecimen,UCRC ENT,,SBBG-SR,002054,,,Denise Knapp | Stephanie Calloway,,,,,2S-PT_20170621,,Pan Trap,,,,,2017,6,21,,,,,2S_Center,Channel Islands,San Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,Soledad Ridge,468,,,,Zone10 E766502,Zone10 N3759832,33.94524,-120.11646,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_002055,n,SBBG-SR_001064,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Hymenoptera,Apocrita,Aculeata,,,,Apoidea,,Halictidae,Halictinae ,,Halictini,,Agapostemon,,texanus,,Agapostemon texanus,female,Stephanie Calloway,to Agapostemon texanus,,1,,Pinned specimen,,PreservedSpecimen,UCRC ENT,,SBBG-SR,002055,,,Denise Knapp | Stephanie Calloway,,,,,2S-PT_20170621,,Pan Trap,,,,,2017,6,21,,,,,2S_Center,Channel Islands,San Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,Soledad Ridge,468,,,,Zone10 E766502,Zone10 N3759832,33.94524,-120.11646,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_002056,n,SBBG-SR_001064,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Hymenoptera,Apocrita,Aculeata,,,,Apoidea,,Halictidae,Halictinae ,,Halictini,,Agapostemon,,texanus,,Agapostemon texanus,female,Stephanie Calloway,to Agapostemon texanus,,1,,Pinned specimen,,PreservedSpecimen,UCRC ENT,,SBBG-SR,002056,,,Denise Knapp | Stephanie Calloway,,,,,2S-PT_20170621,,Pan Trap,,,,,2017,6,21,,,,,2S_Center,Channel Islands,San Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,Soledad Ridge,468,,,,Zone10 E766502,Zone10 N3759832,33.94524,-120.11646,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_002057,n,SBBG-SR_001064,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Hymenoptera,Apocrita,Aculeata,,,,Apoidea,,Halictidae,Halictinae ,,Halictini,,Agapostemon,,texanus,,Agapostemon texanus,female,Stephanie Calloway,to Agapostemon texanus,,1,,Pinned specimen,,PreservedSpecimen,UCRC ENT,,SBBG-SR,002057,,,Denise Knapp | Stephanie Calloway,,,,,2S-PT_20170621,,Pan Trap,,,,,2017,6,21,,,,,2S_Center,Channel Islands,San Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,Soledad Ridge,468,,,,Zone10 E766502,Zone10 N3759832,33.94524,-120.11646,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_002058,y,SBBG-SR_002058,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Hymenoptera,Apocrita,Aculeata,,,,Apoidea,,Halictidae,Halictinae,,Auglochlorini,,Augochlorella,,pomoniella,,Augochlorella pomoniella,female,Stephanie Calloway | Mari Villa,to Augochlorella pomoniella | confirmed to Augochlorella pomoniella on iNaturalist ,,1,,Pinned specimen,,PreservedSpecimen,UCRC ENT,,SBBG-SR,002058,,,Denise Knapp | Stephanie Calloway,https://www.inaturalist.org/observations/66627535,,,,2S-PT_20170621,,Pan Trap,,,,,2017,6,21,,,,,2S_Center,Channel Islands,San Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,Soledad Ridge,468,,,,Zone10 E766502,Zone10 N3759832,33.94524,-120.11646,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_002059,n,SBBG-SR_001064,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Hymenoptera,Apocrita,Aculeata,,,,Apoidea,,Halictidae,Halictinae ,,Halictini,,Agapostemon,,texanus,,Agapostemon texanus,female,Stephanie Calloway,to Agapostemon texanus,,1,,Pinned specimen,,PreservedSpecimen,UCRC ENT,,SBBG-SR,002059,,,Denise Knapp | Stephanie Calloway,,,,,2S-PT_20170621,,Pan Trap,,,,,2017,6,21,,,,,2S_Center,Channel Islands,San Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,Soledad Ridge,468,,,,Zone10 E766502,Zone10 N3759832,33.94524,-120.11646,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_002060,n,SBBG-SR_001064,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Hymenoptera,Apocrita,Aculeata,,,,Apoidea,,Halictidae,Halictinae ,,Halictini,,Agapostemon,,texanus,,Agapostemon texanus,female,Stephanie Calloway,to Agapostemon texanus,,1,,Pinned specimen,,PreservedSpecimen,UCRC ENT,,SBBG-SR,002060,,,Denise Knapp | Stephanie Calloway,,,,,2S-PT_20170621,,Pan Trap,,,,,2017,6,21,,,,,2S_Center,Channel Islands,San Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,Soledad Ridge,468,,,,Zone10 E766502,Zone10 N3759832,33.94524,-120.11646,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_002061,n,SBBG-SR_001064,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Hymenoptera,Apocrita,Aculeata,,,,Apoidea,,Halictidae,Halictinae ,,Halictini,,Agapostemon,,texanus,,Agapostemon texanus,female,Stephanie Calloway,to Agapostemon texanus,,1,,Pinned specimen,,PreservedSpecimen,UCRC ENT,,SBBG-SR,002061,,,Denise Knapp | Stephanie Calloway,,,,,2S-PT_20170621,,Pan Trap,,,,,2017,6,21,,,,,2S_Center,Channel Islands,San Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,Soledad Ridge,468,,,,Zone10 E766502,Zone10 N3759832,33.94524,-120.11646,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_002062,n,SBBG-SR_001064,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Hymenoptera,Apocrita,Aculeata,,,,Apoidea,,Halictidae,Halictinae ,,Halictini,,Agapostemon,,texanus,,Agapostemon texanus,female,Stephanie Calloway,to Agapostemon texanus,,1,,Pinned specimen,,PreservedSpecimen,UCRC ENT,,SBBG-SR,002062,,,Denise Knapp | Stephanie Calloway,,,,,2S-PT_20170621,,Pan Trap,,,,,2017,6,21,,,,,2S_Center,Channel Islands,San Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,Soledad Ridge,468,,,,Zone10 E766502,Zone10 N3759832,33.94524,-120.11646,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_002063,n,SBBG-SR_001064,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Hymenoptera,Apocrita,Aculeata,,,,Apoidea,,Halictidae,Halictinae ,,Halictini,,Agapostemon,,texanus,,Agapostemon texanus,female,Stephanie Calloway,to Agapostemon texanus,,1,,Pinned specimen,,PreservedSpecimen,UCRC ENT,,SBBG-SR,002063,,,Denise Knapp | Stephanie Calloway,,,,,2S-PT_20170621,,Pan Trap,,,,,2017,6,21,,,,,2S_Center,Channel Islands,San Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,Soledad Ridge,468,,,,Zone10 E766502,Zone10 N3759832,33.94524,-120.11646,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_002064,n,SBBG-SR_001064,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Hymenoptera,Apocrita,Aculeata,,,,Apoidea,,Halictidae,Halictinae ,,Halictini,,Agapostemon,,texanus,,Agapostemon texanus,female,Stephanie Calloway,to Agapostemon texanus,,1,,Pinned specimen,,PreservedSpecimen,UCRC ENT,,SBBG-SR,002064,,,Denise Knapp | Stephanie Calloway,,,,,2S-PT_20170621,,Pan Trap,,,,,2017,6,21,,,,,2S_Center,Channel Islands,San Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,Soledad Ridge,468,,,,Zone10 E766502,Zone10 N3759832,33.94524,-120.11646,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_002065,n,SBBG-SR_001064,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Hymenoptera,Apocrita,Aculeata,,,,Apoidea,,Halictidae,Halictinae ,,Halictini,,Agapostemon,,texanus,,Agapostemon texanus,female,Stephanie Calloway,to Agapostemon texanus,,1,,Pinned specimen,,PreservedSpecimen,UCRC ENT,,SBBG-SR,002065,,,Denise Knapp | Stephanie Calloway,,,,,2S-PT_20170621,,Pan Trap,,,,,2017,6,21,,,,,2S_Center,Channel Islands,San Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,Soledad Ridge,468,,,,Zone10 E766502,Zone10 N3759832,33.94524,-120.11646,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_002066,n,SBBG-SR_001064,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Hymenoptera,Apocrita,Aculeata,,,,Apoidea,,Halictidae,Halictinae ,,Halictini,,Agapostemon,,texanus,,Agapostemon texanus,female,Stephanie Calloway,to Agapostemon texanus,,1,,Pinned specimen,,PreservedSpecimen,UCRC ENT,,SBBG-SR,002066,,,Denise Knapp | Stephanie Calloway,,,,,2S-PT_20170621,,Pan Trap,,,,,2017,6,21,,,,,2S_Center,Channel Islands,San Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,Soledad Ridge,468,,,,Zone10 E766502,Zone10 N3759832,33.94524,-120.11646,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
